ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785360394.406,2.2,3000,0.0,1554,4,0.0,0.0,0.0,0.0,58,1,42,15,0
1785360397.556,29.8,3168,3.0,1554,4,0.0,0.0,14.0,8.0,58,2,27,29,0
1785360400.411,95.3,3804,268.0,1555,4,1.0,141.0,45.0,23.0,83,11,28,44,0
1785360402.742,98.5,3951,307.0,1557,4,0.0,34.0,72.0,14.0,83,12,22,49,0
1785360405.067,90.4,4088,346.0,1558,4,1.0,9.0,25.0,4.0,84,9,25,50,0
1785360407.279,85.3,4135,357.0,1559,4,1.0,13.0,41.0,2.0,84,17,19,48,6
1785360409.495,80.7,4145,411.0,1559,4,0.0,1.0,15.0,0.0,84,16,18,50,3
1785360411.901,78.8,4130,392.0,1585,4,0.0,3.0,12.0,4.0,84,17,17,50,6
1785360414.298,86.1,4195,360.0,1588,4,0.0,9.0,50.0,7.0,99,30,15,54,19
1785360416.712,86.5,4198,366.0,1592,4,9.0,13.0,73.0,4.0,99,24,14,59,12
1785360419.511,82.7,4252,402.0,1595,4,3.0,29.0,90.0,4.0,99,10,27,62,6
1785360422.369,88.0,4354,391.0,1609,4,1.0,15.0,116.0,2.0,99,14,16,69,6
1785360424.984,86.4,4406,430.0,1616,4,4.0,14.0,136.0,3.0,99,3,17,79,0
1785360428.044,85.9,4468,421.0,1619,4,9.0,22.0,118.0,4.0,99,8,23,68,0
1785360430.822,88.2,4443,436.0,1623,4,9.0,31.0,125.0,3.0,99,7,26,66,2
1785360433.548,88.0,4467,399.0,1626,4,1.0,20.0,101.0,2.0,99,9,20,70,3
1785360436.126,87.9,4477,402.0,1628,4,0.0,7.0,104.0,2.0,99,2,31,66,0
1785360438.504,83.1,4400,376.0,1629,4,5.0,11.0,75.0,1.0,80,4,9,67,2
1785360441.007,82.3,4306,377.0,1629,4,7.0,15.0,79.0,0.0,87,4,26,57,0
1785360443.593,84.9,4386,373.0,1630,4,0.0,8.0,97.0,1.0,99,16,15,68,1
1785360446.409,81.7,4388,411.0,1630,4,5.0,14.0,96.0,2.0,96,9,27,60,3
1785360449.051,87.9,4356,395.0,1631,4,2.0,15.0,94.0,3.0,93,10,24,59,5
1785360451.477,82.9,4363,437.0,1631,4,2.0,10.0,63.0,1.0,99,14,15,70,4
1785360453.999,82.4,4406,404.0,1635,4,4.0,11.0,64.0,2.0,0,0,0,0,0
1785360456.414,82.9,4462,423.0,1647,4,3.0,10.0,77.0,1.0,100,14,21,65,9
1785360458.931,85.5,4483,374.0,1648,4,3.0,15.0,66.0,3.0,96,8,24,64,6
1785360461.610,89.8,4447,392.0,1648,4,4.0,17.0,87.0,4.0,96,11,26,59,8
1785360464.952,84.3,4463,428.0,1648,4,8.0,12.0,122.0,6.0,97,18,15,64,12
1785360467.710,90.8,4495,456.0,1649,4,7.0,34.0,98.0,4.0,96,12,22,62,6
1785360470.283,87.8,4500,422.0,1655,4,5.0,20.0,90.0,5.0,95,12,19,63,2
1785360472.879,82.0,4522,424.0,1660,4,2.0,10.0,73.0,2.0,94,6,24,64,1
1785360475.779,84.6,4561,396.0,1660,4,1.0,12.0,71.0,7.0,95,12,23,60,5
1785360478.481,87.0,4618,357.0,1660,4,1.0,22.0,82.0,3.0,91,4,28,59,1
1785360480.954,86.7,4669,364.0,1660,4,2.0,17.0,64.0,8.0,91,6,22,63,0
1785360484.185,84.5,4600,370.0,1660,4,2.0,16.0,81.0,8.0,91,7,17,67,2
1785360486.809,87.6,4675,398.0,1661,4,3.0,15.0,60.0,7.0,91,11,16,64,5
1785360489.552,90.8,4725,361.0,1661,4,1.0,18.0,61.0,7.0,91,3,29,59,0
1785360491.969,92.0,4766,374.0,1666,4,2.0,15.0,71.0,3.0,91,7,26,58,3
1785360495.362,79.1,4790,352.0,1667,4,0.0,9.0,76.0,10.0,91,16,21,54,6
1785360497.893,92.0,4708,429.0,1667,4,1.0,42.0,77.0,5.0,91,11,25,55,5
1785360500.628,87.7,4579,389.0,1667,4,5.0,16.0,76.0,7.0,91,15,17,59,11
1785360503.557,90.6,4544,366.0,1667,4,5.0,32.0,76.0,9.0,91,13,25,53,7
1785360506.106,91.9,4575,366.0,1667,4,2.0,27.0,90.0,6.0,89,10,19,59,8
1785360508.854,86.1,4593,319.0,1667,4,2.0,12.0,81.0,5.0,91,9,19,63,5
1785360511.698,88.6,4634,390.0,1667,4,0.0,29.0,66.0,9.0,93,9,17,67,1
1785360514.550,90.6,4683,384.0,1667,4,3.0,23.0,89.0,5.0,91,5,31,55,3
1785360517.487,90.8,4708,377.0,1667,4,4.0,24.0,93.0,9.0,93,17,31,45,12
1785360520.450,92.3,4661,381.0,1667,4,4.0,26.0,107.0,6.0,93,22,24,47,17
1785360523.006,91.0,4703,389.0,1667,4,2.0,26.0,83.0,6.0,93,11,25,57,6
1785360525.734,84.8,4729,406.0,1667,4,2.0,13.0,58.0,6.0,89,19,30,40,17
1785360528.457,86.1,4736,336.0,1667,4,6.0,25.0,88.0,8.0,87,8,12,66,5
1785360530.935,91.0,4759,380.0,1667,4,1.0,22.0,91.0,6.0,87,15,26,46,13
1785360533.659,84.0,4716,312.0,1667,4,1.0,16.0,67.0,6.0,87,16,18,53,9
1785360536.133,92.7,4720,363.0,1667,4,0.0,25.0,68.0,6.0,92,12,31,49,8
1785360538.930,87.5,4733,357.0,1667,4,0.0,18.0,62.0,10.0,94,10,30,53,5
1785360541.913,91.8,4802,358.0,1668,4,1.0,32.0,78.0,4.0,95,7,29,59,3
