ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785360346.518,91.2,5079,225.0,1554,4,2.0,15.0,32.0,14.0,58,2,33,23,0
1785360348.419,89.8,5090,253.0,1554,4,3.0,16.0,32.0,8.0,58,1,37,20,0
1785360350.815,71.7,5099,150.0,1554,4,2.0,14.0,21.0,11.0,58,1,34,23,0
1785360352.670,94.2,5071,269.0,1554,4,1.0,20.0,29.0,6.0,58,1,39,18,0
1785360354.751,80.4,5071,182.0,1554,4,1.0,16.0,35.0,12.0,58,1,40,17,0
1785360356.960,76.0,5078,213.0,1554,4,1.0,12.0,23.0,8.0,58,2,39,17,0
1785360358.934,86.4,5070,178.0,1554,4,3.0,15.0,21.0,9.0,58,2,40,16,0
1785360361.208,82.5,5100,165.0,1554,4,3.0,12.0,19.0,9.0,58,1,37,20,0
1785360363.196,76.1,4097,244.0,1554,4,1.0,15.0,22.0,10.0,58,1,38,19,0
1785360364.940,59.9,3677,181.0,1554,4,1.0,4.0,9.0,1.0,58,1,41,16,0
1785360366.668,32.4,3056,62.0,1554,4,0.0,0.0,3.0,0.0,58,1,42,15,0
